url,title,label,status
https://www.foxnews.com/world/world-fixates-other-wars-sudan-sees-12-million-forcibly-displaced-devastating-conflict,"As world fixates on other wars, Sudan sees 12 million forcibly displaced in devastating conflict",fox,success
https://www.foxnews.com/politics/trump-administration-offers-5m-reward-capture-fugitive-los-choneros-gang-leader,Trump administration offers $5M reward for capture of fugitive Los Choneros gang leader,fox,success
https://www.foxnews.com/politics/minnesota-investigation-shadowy-money-system-somalis-rely-terrorists-can-exploit,Minnesota investigation: The shadowy money system Somalis rely on — and terrorists can exploit,fox,success
https://www.foxnews.com/politics/trump-admin-weighs-terrorism-sanctions-against-un-palestinian-aid-agency-over-hamas-allegations,Trump admin weighs terrorism sanctions against UN Palestinian aid agency over Hamas allegations,fox,success
https://www.foxnews.com/politics/bipartisan-bill-aims-prevent-syrians-terror-ties-from-reaching-us-border,Bipartisan bill aims to prevent Syrians with terror ties from reaching US border,fox,success
https://www.foxnews.com/world/anti-hamas-protests-breakout-gaza-strip-over-demands-end-war,Anti-Hamas protests break out in Gaza Strip over demands to end war,fox,success
https://www.foxnews.com/opinion/us-must-stand-up-terrorists-we-need-supreme-court-congress-do-part,US must stand up to terrorists and we need Supreme Court and Congress to do their part,fox,success
https://www.foxnews.com/forum/public-forum-2025-general-elections,Election Day 2025: Join America's conversation here!,fox,success
https://www.foxnews.com/politics/mayor-tim-keller-defeats-law-and-order-challenger-secure-third-term-albuquerque-mayor,Mayor Tim Keller defeats law-and-order challenger to secure third term as Albuquerque mayor,fox,success
https://www.foxnews.com/politics/democrats-end-30-year-losing-streak-miami-mayoral-race-trump-backed-candidate-falls-short,Democrats end 30-year losing streak in Miami as Trump-backed candidate falls short,fox,success
https://www.foxnews.com/politics/ny-dem-wouldnt-back-mamdani-mayor-now-mamdani-backing-his-challenger,NY Dem wouldn’t back Mamdani for mayor — now Mamdani is backing his challenger,fox,success
https://www.foxnews.com/politics/fox-news-poll-how-do-voters-feel-about-ai-its-complicated,Fox News Poll: How do voters feel about AI? It’s complicated,fox,success
https://www.foxnews.com/politics/fox-news-poll-holiday-togetherness-tops-political-differences,Fox News Poll: Holiday togetherness tops political differences,fox,success
https://www.foxnews.com/politics/fox-news-poll-voters-say-white-house-doing-more-harm-than-good-economy,Fox News Poll: Voters say White House is doing more harm than good on economy,fox,success
https://www.foxnews.com/politics/mamdani-reveals-why-he-appointed-convicted-armed-robber-nyc-transition-team,Mamdani reveals why he appointed convicted armed robber to NYC transition team,fox,success
https://www.foxnews.com/politics/mamdani-appoints-convicted-armed-robber-public-safety-transition-team,Mamdani appoints convicted armed robber to public safety transition team,fox,success
https://www.foxnews.com/politics/top-five-moments-from-2025-campaign-trail,Top 5 game-changers from the 2025 campaign trail,fox,success
https://www.foxnews.com/media/she-lost-date-over-trump-he-swears-liberals-wont-date-him-night-politics-crashed-party-scene,She lost a date over Trump; he swears liberals won’t date him. The night politics crashed the party scene,fox,success
https://www.foxnews.com/politics/2028-looms-large-harris-newsom-pritzker-converge-high-stakes-democratic-party-summit,"2028 looms large: Harris, Newsom, Pritzker converge at high-stakes Democratic Party summit",fox,success
https://www.foxnews.com/politics/grand-jury-refuses-charge-letitia-james-doj-keeps-pushing-indictment,Grand jury refuses to charge Letitia James as DOJ keeps pushing for indictment,fox,success
https://www.foxnews.com/politics/noem-confronts-democrats-over-nyc-crime-asylum-abuses-members-hurl-accusations,"Noem confronts Democrats over NYC crime, asylum abuses as members hurl accusations",fox,success
https://www.foxnews.com/politics/nj-senator-declares-war-dem-machine-pledges-primary-battles-against-old-guard-power-brokers,"NJ senator declares war on Dem ‘machine,’ pledges primary battles against old-guard power brokers",fox,success
https://www.foxnews.com/politics/new-jerseys-medically-assisted-suicide-law-only-covers-state-residents-appeals-court-rules,"New Jersey's medically assisted suicide law only covers state residents, appeals court rules",fox,success
https://www.foxnews.com/entertainment/marvelous-mrs-maisel-actress-wenne-alton-davis-dies-60-after-being-hit-car-nyc,'Marvelous Mrs. Maisel' actress Wenne Alton Davis dies at 60 after being hit by car in NYC,fox,success
https://www.foxnews.com/us/missing-virginia-coach-travis-turner-fuels-tense-school-board-meeting-judge-seals-case-records-report,Missing Virginia coach Travis Turner fuels tense school board meeting as judge seals case records: report,fox,success
https://www.foxnews.com/politics/congressional-democrats-widen-2026-battlefield-zero-new-house-republican-targets,"Congressional Democrats widen 2026 battlefield, zero in on new House Republican targets",fox,success
https://www.foxnews.com/us/luigi-mangione-said-all-these-people-here-for-mass-murder-wild-arraignment-police-officer,"Luigi Mangione said 'all these people are here for a mass murder, wild' at arraignment: police officer",fox,success
https://www.foxnews.com/politics/jay-jones-targeted-ags-urge-national-groups-deny-membership-over-scandals-stain-our-institution,Jay Jones targeted as AGs urge national groups to deny membership over scandals: ‘Stain on our institution’,fox,success
https://www.foxnews.com/politics/doj-sues-virginia-school-board-over-christian-students-rights,DOJ sues Virginia school board over Christian students' rights,fox,success
https://www.foxnews.com/politics/new-jersey-twins-charged-threats-kill-dhs-official-shoot-ice-sight,"New Jersey twins charged in threats to kill DHS official, ‘shoot ICE on sight’",fox,success
https://www.foxnews.com/politics/speakers-lobby-what-congress-december-script-means-healthcare-next-year,The Speaker's Lobby: What Congress' December script means for healthcare next year,fox,success
https://www.foxnews.com/politics/mike-johnson-says-second-venezuela-boat-strike-entirely-appropriate-after-seeing-classified-video,Speaker Johnson says second Venezuela boat strike 'entirely appropriate' after seeing classified video,fox,success
https://www.foxnews.com/politics/dems-join-house-republicans-kill-progressives-trump-impeachment-bid,23 Dems join House Republicans to kill progressive's Trump impeachment bid,fox,success
https://www.foxnews.com/politics/top-republican-rebukes-notions-arrest-ice-agents-plan-pull-fed-funding-from-problem-cities,Top Republican rebukes notions to arrest DHS agents with plan to pull funding from problem cities,fox,success
https://www.foxnews.com/politics/leftist-code-pink-founder-praise-marjorie-taylor-greene-stuns-social-media,Leftist Code Pink founder praise for Marjorie Taylor Greene stuns social media,fox,success
https://www.foxnews.com/politics/kristi-noem-faces-first-major-homeland-security-grilling-lawmakers-press-her-terror-threats,Kristi Noem faces first major Homeland Security grilling as lawmakers press her on terror threats,fox,success
https://www.foxnews.com/politics/house-dem-force-trump-impeachment-vote-2-articles,House Dem to force Trump impeachment vote on 2 articles,fox,success
https://www.foxnews.com/politics/trump-rips-indiana-gop-leader-over-redistricting-fight-warns-republicans-could-face-maga-primary,"Trump rips Indiana GOP leader over redistricting fight, warns Republicans could face ‘MAGA primary’",fox,success
https://www.foxnews.com/politics/moderate-republicans-stage-obamacare-rebellion-health-cost-frustrations-erupt-house,Moderate Republicans stage Obamacare rebellion as health cost frustrations erupt in House,fox,success
https://www.foxnews.com/politics/house-passes-901b-military-defense-bill-after-republican-revolt-collapses,House passes $901B military defense bill after Republican revolt collapses,fox,success
https://www.foxnews.com/politics/900b-defense-bill-advances-house-wide-vote-conservative-mutiny-threat-looms,Mutiny threats hang over House GOP vote on billions in defense spending,fox,success
https://www.foxnews.com/politics/thomas-massie-introduces-bill-pull-us-out-nato-america-should-not-worlds-security-blanket,Thomas Massie introduces bill to pull US out of NATO: ‘America should not be the world’s security blanket’,fox,success
https://www.foxnews.com/politics/bipartisan-lawmakers-unveil-obamacare-fix-pressure-grows-johnson-play-call,Bipartisan lawmakers unveil Obamacare extension as pressure grows on Johnson for play call,fox,success
https://www.foxnews.com/politics/gop-lawmaker-unveils-bill-ensure-fathers-shoulder-50-pregnancy-expenses,GOP lawmaker unveils bill to ensure fathers shoulder 50% of pregnancy expenses,fox,success
https://www.foxnews.com/politics/why-us-could-snatch-venezuelan-tanker-not-under-wartime-authority-used-cartel-strikes,Why the US could snatch a Venezuelan tanker — and not under ‘wartime’ authority used in cartel strikes,fox,success
https://www.foxnews.com/us/mississippi-governor-orders-release-man-who-served-more-than-10-years-illegal-15-year-sentence,Mississippi governor orders release of man who served more than 10 years of illegal 15-year sentence,fox,success
