url,title,label,status
https://www.foxnews.com/politics/waltz-hails-night-and-day-middle-east-shift-trumps-gaza-plan-reshapes-region,Waltz hails ‘night-and-day’ Middle East shift as Trump’s Gaza plan reshapes region,fox,success
https://www.foxnews.com/politics/white-house-slams-house-dems-releasing-epstein-photos-showing-trump-clinton-woody-allen,"White House slams House Dems releasing Epstein photos showing Trump, Clinton, Woody Allen",fox,success
https://www.foxnews.com/politics/bipartisan-push-grows-senate-force-release-unedited-caribbean-strike-footage,Bipartisan push grows in Senate to force release of unedited Caribbean strike footage,fox,success
https://www.foxnews.com/politics/omar-accused-gop-opponent-opening-up-door-massive-minneapolis-fraud-deep-deep-ties,"Omar accused by GOP opponent of opening up the door to massive Minneapolis fraud: 'Deep, deep ties'",fox,success
https://www.foxnews.com/politics/gas-prices-falling-so-why-isnt-trump-refilling-oil-reserve-faster-wh-blames-biden-era-damage,Gas prices are falling — so why isn’t Trump refilling the oil reserve faster? WH blames Biden-era ‘damage’,fox,success
https://www.foxnews.com/politics/exclusive-inside-trumps-private-schedule-media-fixates-his-health,EXCLUSIVE: Inside Trump’s private schedule as media fixates on his health,fox,success
https://www.foxnews.com/media/marjorie-taylor-greene-returning-the-view-just-days-after-shell-leave-congress,Marjorie Taylor Greene returning to 'The View' just days after she'll leave Congress,fox,success
https://www.foxnews.com/politics/republican-house-leader-signals-plan-begin-contempt-proceedings-against-bill-hillary-clinton,Republican House leader signals plan to begin contempt proceedings against Bill and Hillary Clinton,fox,success
https://www.foxnews.com/politics/gabbard-blasts-democrat-bennie-thompson-calling-national-guard-shooting-unfortunate-accident,Gabbard blasts Democrat Bennie Thompson for calling National Guard shooting an ‘unfortunate accident’,fox,success
https://www.foxnews.com/politics/house-gop-unveils-healthcare-plan-ahead-vote-next-week-cost-hike-looms-millions,House GOP unveils healthcare plan ahead of vote next week as cost hike looms for millions,fox,success
https://www.foxnews.com/media/pop-star-sza-lashes-out-white-house-evil-n-boring-deportation-post-using-her-song,Pop star SZA lashes out at White House for ‘Evil n Boring’ deportation post using her song,fox,success
https://www.foxnews.com/politics/cruz-says-rep-ilhan-omar-could-face-jail-time-deportation-marriage-allegation-proves-true,"Cruz says Rep Ilhan Omar could face jail time, deportation if marriage allegation proves true",fox,success
https://www.foxnews.com/politics/preservation-group-sues-trump-administration-white-house-ballroom-project,Preservation group sues Trump administration over White House ballroom project,fox,success
https://www.foxnews.com/media/melania-trumps-longtime-makeup-artist-says-she-canceled-working-first-family,Melania Trump's longtime makeup artist says she was canceled for working with first family,fox,success
https://www.foxnews.com/media/bennie-thompson-claims-he-misspoke-after-calling-dc-national-guard-shooting-unfortunate-accident,Bennie Thompson says he misspoke after calling DC National Guard shooting an 'unfortunate accident',fox,success
https://www.foxnews.com/media/erika-kirks-standout-fox-news-moments-grief-faith-truth-shes-fighting,"Erika Kirk’s standout Fox News moments on grief, faith and the truth she’s fighting for",fox,success
https://www.foxnews.com/politics/senate-mulls-next-steps-after-dueling-obamacare-fixes-go-up-flames,Senate mulls next steps after dueling Obamacare fixes go up in flames,fox,success
https://www.foxnews.com/media/white-house-mocks-cnn-chicken-news-network-after-failing-schedule-stephen-miller,White House mocks CNN as ‘Chicken News Network’ after failing to schedule Stephen Miller,fox,success
https://www.foxnews.com/politics/fox-news-politics-newsletter-omar-accused-opening-door-massive-minneapolis-fraud,Fox News Politics Newsletter: Omar accused of opening door to massive Minneapolis fraud,fox,success
https://www.foxnews.com/politics/fox-news-politics-newsletter-doj-cleared-release-epstein-grand-jury-materials,Fox News Politics Newsletter: DOJ cleared to release Epstein grand jury materials,fox,success
https://www.foxnews.com/politics/dem-appointed-education-officials-face-new-scrutiny-as-fraud-scandal-widens,Fox News Politics Newsletter: Dem-appointed education officials face new scrutiny as fraud scandal widens,fox,success
https://www.foxnews.com/media/epstein-documents-raise-new-questions-about-trump-conduct-he-denounces-democrats,Epstein documents raise new questions about Trump conduct as he denounces Democrats,fox,success
https://www.foxnews.com/media/fettermans-brutally-candid-account-battling-depression-feeling-suicidal-being-thrown-out-his-house,"Fetterman’s brutally candid account of battling depression, feeling suicidal, being thrown out of his house",fox,success
https://www.foxnews.com/story/where-in-the-world-is-fox,Where in the World is FOX?,fox,success
https://www.foxnews.com/us/tourist-stabbed-multiple-times-nycs-iconic-macys-during-holiday-shopping-rush,Tourist changing baby stabbed multiple times in the back at iconic NYC Macy's during holiday shopping rush,fox,success
